query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Porites_compressa_HIv1___RNAseq.g20090.t1,TRP,,O75762,5.35e-90,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Porites_compressa_HIv1___RNAseq.g20097.t1,"calcium, SLC, Sodium_calcium_exchanger",,S4R2P9,4.65e-174,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),calcium ion export across plasma membrane [GO:1990034]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; intracellular calcium ion homeostasis [GO:0006874]; learning [GO:0007612]; learning or memory [GO:0007611]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; metal ion transport [GO:0030001]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transmembrane transport [GO:0006851]; modulation of excitatory postsynaptic potential [GO:0098815]; myelination [GO:0042552]; negative regulation of intracellular signal transduction [GO:1902532]; oligodendrocyte differentiation [GO:0048709]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]; telencephalon development [GO:0021537],GO:0002244; GO:0005432; GO:0005516; GO:0005654; GO:0005741; GO:0005789; GO:0005813; GO:0005829; GO:0005874; GO:0005886; GO:0006851; GO:0006874; GO:0007154; GO:0007611; GO:0007612; GO:0007613; GO:0014069; GO:0014819; GO:0015368; GO:0016528; GO:0021537; GO:0030001; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0043197; GO:0043204; GO:0043679; GO:0045202; GO:0045211; GO:0046872; GO:0048471; GO:0048709; GO:0050808; GO:0051560; GO:0060291; GO:0060402; GO:0070161; GO:0070588; GO:0071320; GO:0071456; GO:0098703; GO:0098815; GO:1902532; GO:1905060; GO:1990034,anchoring junction [GO:0070161]; axon terminus [GO:0043679]; centrosome [GO:0005813]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; neuromuscular junction [GO:0031594]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasm [GO:0016528]; synapse [GO:0045202],calcium:monoatomic cation antiporter activity [GO:0015368]; calcium:monoatomic cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration [GO:1905060]; calcium:sodium antiporter activity [GO:0005432]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872],Sodium/calcium exchanger 3
Porites_compressa_HIv1___RNAseq.g20221.t1,calcium,,O54898,9.66e-155,Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1),action potential [GO:0001508]; artery smooth muscle contraction [GO:0014824]; AV node cell action potential [GO:0086016]; AV node cell to bundle of His cell signaling [GO:0086027]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cellular response to dexamethasone stimulus [GO:0071549]; chemical synaptic transmission [GO:0007268]; membrane depolarization during action potential [GO:0086010]; membrane depolarization during AV node cell action potential [GO:0086045]; membrane depolarization during SA node cell action potential [GO:0086046]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371]; regulation of calcium ion transport [GO:0051924]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane potential [GO:0042391]; response to nickel cation [GO:0010045]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell signaling [GO:0086018],GO:0001508; GO:0001518; GO:0002027; GO:0005245; GO:0005248; GO:0005737; GO:0005886; GO:0005891; GO:0007204; GO:0007268; GO:0008332; GO:0010045; GO:0014824; GO:0030425; GO:0042391; GO:0043005; GO:0043025; GO:0044297; GO:0045202; GO:0045956; GO:0048471; GO:0051924; GO:0060371; GO:0060402; GO:0070509; GO:0070588; GO:0071549; GO:0086002; GO:0086010; GO:0086015; GO:0086016; GO:0086018; GO:0086027; GO:0086045; GO:0086046; GO:0086056; GO:0086059; GO:0086091; GO:0097110,cell body [GO:0044297]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated sodium channel complex [GO:0001518],low voltage-gated calcium channel activity [GO:0008332]; scaffold protein binding [GO:0097110]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in AV node cell action potential [GO:0086056]; voltage-gated calcium channel activity involved SA node cell action potential [GO:0086059]; voltage-gated sodium channel activity [GO:0005248],Voltage-dependent T-type calcium channel subunit alpha-1G
Porites_compressa_HIv1___RNAseq.g20233.t1,calcium,,O54898,1.79e-170,Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1),action potential [GO:0001508]; artery smooth muscle contraction [GO:0014824]; AV node cell action potential [GO:0086016]; AV node cell to bundle of His cell signaling [GO:0086027]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cellular response to dexamethasone stimulus [GO:0071549]; chemical synaptic transmission [GO:0007268]; membrane depolarization during action potential [GO:0086010]; membrane depolarization during AV node cell action potential [GO:0086045]; membrane depolarization during SA node cell action potential [GO:0086046]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371]; regulation of calcium ion transport [GO:0051924]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane potential [GO:0042391]; response to nickel cation [GO:0010045]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell signaling [GO:0086018],GO:0001508; GO:0001518; GO:0002027; GO:0005245; GO:0005248; GO:0005737; GO:0005886; GO:0005891; GO:0007204; GO:0007268; GO:0008332; GO:0010045; GO:0014824; GO:0030425; GO:0042391; GO:0043005; GO:0043025; GO:0044297; GO:0045202; GO:0045956; GO:0048471; GO:0051924; GO:0060371; GO:0060402; GO:0070509; GO:0070588; GO:0071549; GO:0086002; GO:0086010; GO:0086015; GO:0086016; GO:0086018; GO:0086027; GO:0086045; GO:0086046; GO:0086056; GO:0086059; GO:0086091; GO:0097110,cell body [GO:0044297]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated sodium channel complex [GO:0001518],low voltage-gated calcium channel activity [GO:0008332]; scaffold protein binding [GO:0097110]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in AV node cell action potential [GO:0086056]; voltage-gated calcium channel activity involved SA node cell action potential [GO:0086059]; voltage-gated sodium channel activity [GO:0005248],Voltage-dependent T-type calcium channel subunit alpha-1G
Porites_compressa_HIv1___RNAseq.g20234.t1b,SLC,,Q28J44,6.49e-127,Zinc transporter ZIP11 (Solute carrier family 39 member 11) (Zrt- and Irt-like protein 11) (ZIP-11),,GO:0005385; GO:0005634; GO:0005737; GO:0005794; GO:0005886,cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; plasma membrane [GO:0005886],zinc ion transmembrane transporter activity [GO:0005385],Zinc transporter ZIP11
Porites_compressa_HIv1___RNAseq.g20387.t1,SLC,,Q7Z2H8,2.44e-34,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),alanine transport [GO:0032328]; amino acid import across plasma membrane [GO:0089718]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine transport [GO:0015808]; monoatomic ion transport [GO:0006811]; proline transmembrane transport [GO:0035524]; proline transport [GO:0015824]; proton transmembrane transport [GO:1902600]; taurine transmembrane transport [GO:0015734],GO:0005280; GO:0005297; GO:0005765; GO:0005774; GO:0005783; GO:0005886; GO:0006811; GO:0006865; GO:0015171; GO:0015180; GO:0015187; GO:0015193; GO:0015411; GO:0015734; GO:0015808; GO:0015816; GO:0015824; GO:0016324; GO:0022858; GO:0032328; GO:0035524; GO:0089718; GO:1902600,apical plasma membrane [GO:0016324]; endoplasmic reticulum [GO:0005783]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774],ABC-type taurine transporter transporter activity [GO:0015411]; alanine transmembrane transporter activity [GO:0022858]; amino acid transmembrane transporter activity [GO:0015171]; amino acid:proton symporter activity [GO:0005280]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-proline transmembrane transporter activity [GO:0015193]; proline:proton symporter activity [GO:0005297],Proton-coupled amino acid transporter 1
Porites_compressa_HIv1___RNAseq.g20395.t1,SLC,,Q7Z2H8,3.7e-30,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),alanine transport [GO:0032328]; amino acid import across plasma membrane [GO:0089718]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine transport [GO:0015808]; monoatomic ion transport [GO:0006811]; proline transmembrane transport [GO:0035524]; proline transport [GO:0015824]; proton transmembrane transport [GO:1902600]; taurine transmembrane transport [GO:0015734],GO:0005280; GO:0005297; GO:0005765; GO:0005774; GO:0005783; GO:0005886; GO:0006811; GO:0006865; GO:0015171; GO:0015180; GO:0015187; GO:0015193; GO:0015411; GO:0015734; GO:0015808; GO:0015816; GO:0015824; GO:0016324; GO:0022858; GO:0032328; GO:0035524; GO:0089718; GO:1902600,apical plasma membrane [GO:0016324]; endoplasmic reticulum [GO:0005783]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774],ABC-type taurine transporter transporter activity [GO:0015411]; alanine transmembrane transporter activity [GO:0022858]; amino acid transmembrane transporter activity [GO:0015171]; amino acid:proton symporter activity [GO:0005280]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-proline transmembrane transporter activity [GO:0015193]; proline:proton symporter activity [GO:0005297],Proton-coupled amino acid transporter 1
Porites_compressa_HIv1___RNAseq.g20449.t1,"TRP, calcium",,Q6RI86,1.05e-84,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005216; GO:0005245; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042542; GO:0042802; GO:0046872; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0050974; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; metal ion binding [GO:0046872]; monoatomic ion channel activity [GO:0005216]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Porites_compressa_HIv1___RNAseq.g20466.t1,SLC,,Q71RS6,4.05e-107,Sodium/potassium/calcium exchanger 5 (Na(+)/K(+)/Ca(2+)-exchange protein 5) (Solute carrier family 24 member 5),calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; intracellular calcium ion homeostasis [GO:0006874]; melanin biosynthetic process [GO:0042438]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; negative regulation of melanin biosynthetic process [GO:0048022],GO:0005262; GO:0005802; GO:0006811; GO:0006874; GO:0008273; GO:0015293; GO:0032588; GO:0034220; GO:0042438; GO:0042470; GO:0048022; GO:0070509; GO:0070588,melanosome [GO:0042470]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588],"calcium channel activity [GO:0005262]; calcium, potassium:sodium antiporter activity [GO:0008273]; symporter activity [GO:0015293]",Sodium/potassium/calcium exchanger 5
Porites_compressa_HIv1___RNAseq.g20481.t1,calcium,,P29274,7.33e-17,Adenosine receptor A2a,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; astrocyte activation [GO:0048143]; blood circulation [GO:0008015]; blood coagulation [GO:0007596]; cell-cell signaling [GO:0007267]; cellular defense response [GO:0006968]; central nervous system development [GO:0007417]; eating behavior [GO:0042755]; excitatory postsynaptic potential [GO:0060079]; G protein-coupled adenosine receptor signaling pathway [GO:0001973]; inflammatory response [GO:0006954]; inhibitory postsynaptic potential [GO:0060080]; locomotory behavior [GO:0007626]; membrane depolarization [GO:0051899]; negative regulation of alpha-beta T cell activation [GO:0046636]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of vascular permeability [GO:0043116]; neuron projection morphogenesis [GO:0048812]; phagocytosis [GO:0006909]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of circadian sleep/wake cycle, sleep [GO:0045938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein secretion [GO:0050714]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of urine volume [GO:0035810]; prepulse inhibition [GO:0060134]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of calcium ion transport [GO:0051924]; regulation of DNA-templated transcription [GO:0006355]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of norepinephrine secretion [GO:0014061]; response to amphetamine [GO:0001975]; response to caffeine [GO:0031000]; response to purine-containing compound [GO:0014074]; response to xenobiotic stimulus [GO:0009410]; sensory perception [GO:0007600]; synaptic transmission, cholinergic [GO:0007271]; synaptic transmission, dopaminergic [GO:0001963]; synaptic transmission, glutamatergic [GO:0035249]; vasodilation [GO:0042311]",GO:0001609; GO:0001963; GO:0001973; GO:0001975; GO:0005516; GO:0005882; GO:0005886; GO:0006355; GO:0006909; GO:0006915; GO:0006954; GO:0006968; GO:0007188; GO:0007189; GO:0007200; GO:0007267; GO:0007271; GO:0007417; GO:0007596; GO:0007600; GO:0007626; GO:0008015; GO:0008285; GO:0008289; GO:0009410; GO:0014049; GO:0014057; GO:0014061; GO:0014074; GO:0016020; GO:0019899; GO:0030425; GO:0030673; GO:0031000; GO:0031802; GO:0032230; GO:0032279; GO:0035249; GO:0035810; GO:0042311; GO:0042734; GO:0042755; GO:0042802; GO:0043025; GO:0043116; GO:0043524; GO:0044877; GO:0045211; GO:0045938; GO:0046636; GO:0048143; GO:0048786; GO:0048812; GO:0050714; GO:0050728; GO:0051393; GO:0051881; GO:0051899; GO:0051924; GO:0051968; GO:0060079; GO:0060080; GO:0060134; GO:0070374; GO:0097190; GO:0098978; GO:0099171; GO:1900273; GO:2001235,asymmetric synapse [GO:0032279]; axolemma [GO:0030673]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; intermediate filament [GO:0005882]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic active zone [GO:0048786]; presynaptic membrane [GO:0042734],alpha-actinin binding [GO:0051393]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; G protein-coupled adenosine receptor activity [GO:0001609]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; protein-containing complex binding [GO:0044877]; type 5 metabotropic glutamate receptor binding [GO:0031802],Adenosine receptor A2a
Porites_compressa_HIv1___RNAseq.g20514.t1,Bhattacharya2016,TMC6,Q7Z402,9.92e-94,Transmembrane channel-like protein 7,sensory perception of mechanical stimulus [GO:0050954],GO:0005886; GO:0008200; GO:0008381; GO:0043025; GO:0050954,neuronal cell body [GO:0043025]; plasma membrane [GO:0005886],ion channel inhibitor activity [GO:0008200]; mechanosensitive monoatomic ion channel activity [GO:0008381],TMC6
Porites_compressa_HIv1___RNAseq.g20523.t1,Bhattacharya2016,PKD1,Q9Z0T6,2.26e-105,Polycystin family receptor for egg jelly (PKD and REJ homolog) (Polycystic kidney disease and receptor for egg jelly-related protein),regulation of acrosome reaction [GO:0060046],GO:0002080; GO:0005509; GO:0005634; GO:0060046; GO:0097524,acrosomal membrane [GO:0002080]; nucleus [GO:0005634]; sperm plasma membrane [GO:0097524],calcium ion binding [GO:0005509],PKD1
Porites_compressa_HIv1___RNAseq.g20626.t1,SLC,,Q2M3R5,3.73e-46,Solute carrier family 35 member G1 (Partner of STIM1) (Transmembrane protein 20),calcium ion export across plasma membrane [GO:1990034]; regulation of cytosolic calcium ion concentration [GO:0051480],GO:0005789; GO:0005886; GO:0051480; GO:1990034,endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886],,Solute carrier family 35 member G1
Porites_compressa_HIv1___RNAseq.g20627.t1,SLC,,Q2M3R5,5.06e-37,Solute carrier family 35 member G1 (Partner of STIM1) (Transmembrane protein 20),calcium ion export across plasma membrane [GO:1990034]; regulation of cytosolic calcium ion concentration [GO:0051480],GO:0005789; GO:0005886; GO:0051480; GO:1990034,endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886],,Solute carrier family 35 member G1
Porites_compressa_HIv1___RNAseq.g20683.t1,calcium,,F1MMV1,1.98e-180,EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21),calcium ion transport [GO:0006816]; flagellated sperm motility [GO:0030317]; regulation of calcineurin-NFAT signaling cascade [GO:0070884]; regulation of store-operated calcium entry [GO:2001256],GO:0005509; GO:0005879; GO:0006816; GO:0030317; GO:0036126; GO:0061891; GO:0070884; GO:0160111; GO:2001256,axonemal A tubule inner sheath [GO:0160111]; axonemal microtubule [GO:0005879]; sperm flagellum [GO:0036126],calcium ion binding [GO:0005509]; calcium ion sensor activity [GO:0061891],EF-hand domain-containing family member B
Porites_compressa_HIv1___RNAseq.g20787.t1,SLC,,B0JZG0,0,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),sodium ion transport [GO:0006814],GO:0005886; GO:0006814; GO:0015293,plasma membrane [GO:0005886],symporter activity [GO:0015293],Solute carrier family 23 member 2
Porites_compressa_HIv1___RNAseq.g20788.t1,SLC,,B0JZG0,0,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),sodium ion transport [GO:0006814],GO:0005886; GO:0006814; GO:0015293,plasma membrane [GO:0005886],symporter activity [GO:0015293],Solute carrier family 23 member 2
Porites_compressa_HIv1___RNAseq.g20789.t1,SLC,,B0JZG0,0,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),sodium ion transport [GO:0006814],GO:0005886; GO:0006814; GO:0015293,plasma membrane [GO:0005886],symporter activity [GO:0015293],Solute carrier family 23 member 2
Porites_compressa_HIv1___RNAseq.g20855.t1a,SLC,,Q6DIV6,2.13e-75,Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter),beta-alanine transport [GO:0001762]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid transport [GO:0015812]; glycine transport [GO:0015816]; neurotransmitter transport [GO:0006836],GO:0001762; GO:0006836; GO:0008021; GO:0015185; GO:0015187; GO:0015812; GO:0015816; GO:0030659; GO:0042995; GO:0051939; GO:0098793; GO:0140799; GO:0140800,cell projection [GO:0042995]; cytoplasmic vesicle membrane [GO:0030659]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021],gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; gamma-aminobutyric acid:proton antiporter activity [GO:0140800]; glycine transmembrane transporter activity [GO:0015187]; glycine:proton antiporter activity [GO:0140799],Vesicular inhibitory amino acid transporter
Porites_compressa_HIv1___RNAseq.g20856.t1,SLC,,Q6DIV6,4.66e-70,Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter),beta-alanine transport [GO:0001762]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid transport [GO:0015812]; glycine transport [GO:0015816]; neurotransmitter transport [GO:0006836],GO:0001762; GO:0006836; GO:0008021; GO:0015185; GO:0015187; GO:0015812; GO:0015816; GO:0030659; GO:0042995; GO:0051939; GO:0098793; GO:0140799; GO:0140800,cell projection [GO:0042995]; cytoplasmic vesicle membrane [GO:0030659]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021],gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; gamma-aminobutyric acid:proton antiporter activity [GO:0140800]; glycine transmembrane transporter activity [GO:0015187]; glycine:proton antiporter activity [GO:0140799],Vesicular inhibitory amino acid transporter
Porites_compressa_HIv1___RNAseq.g20857.t1,SLC,,Q6DIV6,5.62e-21,Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter),beta-alanine transport [GO:0001762]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid transport [GO:0015812]; glycine transport [GO:0015816]; neurotransmitter transport [GO:0006836],GO:0001762; GO:0006836; GO:0008021; GO:0015185; GO:0015187; GO:0015812; GO:0015816; GO:0030659; GO:0042995; GO:0051939; GO:0098793; GO:0140799; GO:0140800,cell projection [GO:0042995]; cytoplasmic vesicle membrane [GO:0030659]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021],gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; gamma-aminobutyric acid:proton antiporter activity [GO:0140800]; glycine transmembrane transporter activity [GO:0015187]; glycine:proton antiporter activity [GO:0140799],Vesicular inhibitory amino acid transporter
Porites_compressa_HIv1___RNAseq.g20923.t1b,SLC,,B3TP03,3.67e-141,Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),L-arginine import across plasma membrane [GO:0097638]; L-lysine import across plasma membrane [GO:0097639]; L-ornithine transmembrane transport [GO:1903352],GO:0000064; GO:0005737; GO:0005794; GO:0005886; GO:0015189; GO:0031410; GO:0061459; GO:0097638; GO:0097639; GO:1903352,cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886],L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064],Cationic amino acid transporter 2
