query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Porites_compressa_HIv1___RNAseq.g36587.t1	P70665	1.31e-126	Sialate O-acetylesterase (SIAE) (EC 3.1.1.53) (Sialic acid-specific 9-O-acetylesterase) (Yolk sac protein 2) [Cleaved into: Sialate O-acetylesterase small subunit; Sialate O-acetylesterase large subunit]	carbohydrate metabolic process [GO:0005975]; regulation of immune system process [GO:0002682]	GO:0002682; GO:0005764; GO:0005975; GO:0106330	lysosome [GO:0005764]	sialate 9-O-acetylesterase activity [GO:0106330]
Porites_compressa_HIv1___RNAseq.g18548.t1	Q3UDE2	0	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)	innate immune response [GO:0045087]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein modification process [GO:0036211]; regulation of mitotic cell cycle [GO:0007346]	GO:0005524; GO:0005634; GO:0005813; GO:0005819; GO:0005829; GO:0005886; GO:0007346; GO:0016881; GO:0030496; GO:0036211; GO:0045087; GO:0060339; GO:0140005; GO:0140096	centrosome [GO:0005813]; cytosol [GO:0005829]; midbody [GO:0030496]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]	acid-amino acid ligase activity [GO:0016881]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; histone H4K20me2 reader activity [GO:0140005]
Porites_compressa_HIv1___RNAseq.g13849.t1	P00787	1.8e-127	Cathepsin B (EC 3.4.22.1) (Cathepsin B1) (RSG-2) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	autophagy [GO:0006914]; cellular response to mechanical stimulus [GO:0071260]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen catabolic process [GO:0030574]; decidualization [GO:0046697]; epithelial cell differentiation [GO:0030855]; neuron apoptotic process [GO:0051402]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to amine [GO:0014075]; response to cytokine [GO:0034097]; response to dexamethasone [GO:0071548]; response to ethanol [GO:0045471]; response to glucose [GO:0009749]; response to interleukin-4 [GO:0070670]; response to kainic acid [GO:1904373]; response to mechanical stimulus [GO:0009612]; response to peptide hormone [GO:0043434]; skeletal muscle tissue development [GO:0007519]; spermatogenesis [GO:0007283]; symbiont entry into host cell [GO:0046718]; thyroid hormone generation [GO:0006590]	GO:0004175; GO:0004197; GO:0005518; GO:0005576; GO:0005615; GO:0005764; GO:0005901; GO:0006508; GO:0006590; GO:0006914; GO:0007283; GO:0007519; GO:0008233; GO:0008234; GO:0009612; GO:0009749; GO:0009897; GO:0009986; GO:0014075; GO:0016324; GO:0030163; GO:0030574; GO:0030855; GO:0030984; GO:0034097; GO:0042277; GO:0042383; GO:0042470; GO:0042802; GO:0043394; GO:0043434; GO:0044877; GO:0045471; GO:0046697; GO:0046718; GO:0048471; GO:0051402; GO:0051603; GO:0070670; GO:0071260; GO:0071548; GO:0097067; GO:1904090; GO:1904373	apical plasma membrane [GO:0016324]; caveola [GO:0005901]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; melanosome [GO:0042470]; peptidase inhibitor complex [GO:1904090]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]	collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; kininogen binding [GO:0030984]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; protein-containing complex binding [GO:0044877]; proteoglycan binding [GO:0043394]
Porites_compressa_HIv1___RNAseq.g4425.t1	P91657	3.94e-06	Opsin Rh5	absorption of visible light [GO:0016038]; cellular response to light stimulus [GO:0071482]; entrainment of circadian clock by photoperiod [GO:0043153]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]; response to light stimulus [GO:0009416]; sensory perception of sound [GO:0007605]; thermotaxis [GO:0043052]; UV-A, blue light phototransduction [GO:0009588]; visual perception [GO:0007601]	GO:0005886; GO:0007186; GO:0007601; GO:0007602; GO:0007605; GO:0008020; GO:0009416; GO:0009588; GO:0016020; GO:0016028; GO:0016038; GO:0033583; GO:0043052; GO:0043153; GO:0071482	membrane [GO:0016020]; plasma membrane [GO:0005886]; rhabdomere [GO:0016028]; rhabdomere membrane [GO:0033583]	G protein-coupled photoreceptor activity [GO:0008020]
Porites_compressa_HIv1___RNAseq.g28768.t1	Q6PBT8	3.77e-12	Putative fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Heparin-binding growth factor 1) (HBGF-1)	angiogenesis [GO:0001525]; branch elongation involved in ureteric bud branching [GO:0060681]; fibroblast growth factor receptor signaling pathway [GO:0008543]; hemopoiesis [GO:0030097]; mesonephric epithelium development [GO:0072163]; neurogenesis [GO:0022008]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell migration [GO:0030334]	GO:0001525; GO:0005104; GO:0005178; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0005938; GO:0008083; GO:0008201; GO:0008284; GO:0008543; GO:0022008; GO:0030097; GO:0030334; GO:0030335; GO:0043410; GO:0044548; GO:0045542; GO:0045766; GO:0045944; GO:0051781; GO:0060681; GO:0072163; GO:1902533	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; S100 protein binding [GO:0044548]
Porites_compressa_HIv1___RNAseq.g22945.t1	O88572	2.37e-141	Low-density lipoprotein receptor-related protein 6 (LRP-6)	anterior/posterior pattern specification [GO:0009952]; axis elongation [GO:0003401]; axis elongation involved in somitogenesis [GO:0090245]; bone remodeling [GO:0046849]; branching involved in mammary gland duct morphogenesis [GO:0060444]; canonical Wnt signaling pathway [GO:0060070]; cardiac muscle tissue morphogenesis [GO:0055008]; cell migration involved in gastrulation [GO:0042074]; cerebellum morphogenesis [GO:0021587]; cerebral cortex cell migration [GO:0021795]; cerebral cortex development [GO:0021987]; convergent extension [GO:0060026]; dopaminergic neuron differentiation [GO:0071542]; dorsal/ventral axis specification [GO:0009950]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; embryonic limb morphogenesis [GO:0030326]; embryonic pattern specification [GO:0009880]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; establishment of blood-brain barrier [GO:0060856]; establishment of blood-retinal barrier [GO:1990963]; external genitalia morphogenesis [GO:0035261]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; forebrain development [GO:0030900]; forebrain generation of neurons [GO:0021872]; forebrain radial glial cell differentiation [GO:0021861]; formation of radial glial scaffolds [GO:0021943]; gastrulation with mouth forming second [GO:0001702]; generation of neurons [GO:0048699]; heart looping [GO:0001947]; limb morphogenesis [GO:0035108]; mammary gland duct morphogenesis [GO:0060603]; mammary placode formation [GO:0060596]; mesenchymal cell proliferation [GO:0010463]; mesodermal cell migration [GO:0008078]; midbrain development [GO:0030901]; midbrain-hindbrain boundary development [GO:0030917]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; neural tube closure [GO:0001843]; neural tube development [GO:0021915]; Norrin signaling pathway [GO:0110135]; odontogenesis of dentin-containing tooth [GO:0042475]; outflow tract morphogenesis [GO:0003151]; pericardium morphogenesis [GO:0003344]; positive regulation of apoptotic process [GO:0043065]; positive regulation of bone resorption [GO:0045780]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of neuron projection development [GO:0010976]; positive regulation of ossification [GO:0045778]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-anal tail morphogenesis [GO:0036342]; primitive streak formation [GO:0090009]; receptor-mediated endocytosis involved in cholesterol transport [GO:0090118]; regulation of cell development [GO:0060284]; regulation of epithelial cell proliferation [GO:0050678]; response to folic acid [GO:0051593]; retina morphogenesis in camera-type eye [GO:0060042]; roof of mouth development [GO:0060021]; skeletal system morphogenesis [GO:0048705]; somitogenesis [GO:0001756]; stem cell proliferation [GO:0072089]; thalamus development [GO:0021794]; trachea cartilage morphogenesis [GO:0060535]; ventricular septum morphogenesis [GO:0060412]; Wnt signaling pathway involved in forebrain neuroblast division [GO:0021874]; Wnt signaling pathway involved in somitogenesis [GO:0090244]	GO:0001702; GO:0001756; GO:0001843; GO:0001947; GO:0002053; GO:0003151; GO:0003344; GO:0003401; GO:0005041; GO:0005769; GO:0005783; GO:0005886; GO:0008078; GO:0009880; GO:0009950; GO:0009952; GO:0010463; GO:0010976; GO:0016020; GO:0017147; GO:0019534; GO:0021587; GO:0021794; GO:0021795; GO:0021861; GO:0021872; GO:0021874; GO:0021915; GO:0021943; GO:0021987; GO:0030326; GO:0030900; GO:0030901; GO:0030917; GO:0034185; GO:0035108; GO:0035115; GO:0035116; GO:0035261; GO:0036342; GO:0042074; GO:0042475; GO:0042733; GO:0042813; GO:0043065; GO:0045121; GO:0045444; GO:0045599; GO:0045778; GO:0045780; GO:0045944; GO:0046849; GO:0048596; GO:0048699; GO:0048705; GO:0050678; GO:0050680; GO:0051593; GO:0055008; GO:0060021; GO:0060026; GO:0060042; GO:0060059; GO:0060070; GO:0060284; GO:0060325; GO:0060412; GO:0060444; GO:0060535; GO:0060596; GO:0060603; GO:0060856; GO:0071542; GO:0072089; GO:0090009; GO:0090118; GO:0090244; GO:0090245; GO:0110135; GO:1990963; GO:2000051; GO:2000648	early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	apolipoprotein binding [GO:0034185]; low-density lipoprotein particle receptor activity [GO:0005041]; toxin transmembrane transporter activity [GO:0019534]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
Porites_compressa_HIv1___RNAseq.g36585.t1	D3ZDI6	3.58e-126	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	cholesterol homeostasis [GO:0042632]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of neuron projection development [GO:0010977]; nervous system development [GO:0007399]; positive regulation of protein catabolic process [GO:0045732]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; regulation of low-density lipoprotein particle receptor catabolic process [GO:0032803]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004842; GO:0005737; GO:0005856; GO:0005886; GO:0006511; GO:0007399; GO:0008092; GO:0008270; GO:0010977; GO:0010989; GO:0016567; GO:0031648; GO:0032803; GO:0042632; GO:0045732; GO:0061630	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	cytoskeletal protein binding [GO:0008092]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Porites_compressa_HIv1___TS.g5331.t1	Q9ULJ7	8.09e-63	Ankyrin repeat domain-containing protein 50	endocytic recycling [GO:0032456]; protein transport [GO:0015031]	GO:0005768; GO:0015031; GO:0032456	endosome [GO:0005768]	
Porites_compressa_HIv1___RNAseq.g8568.t1	Q5VV43	9.62e-06	Dyslexia-associated protein KIAA0319	central nervous system neuron development [GO:0021954]; multicellular organismal response to stress [GO:0033555]; negative regulation of axon extension [GO:0030517]; negative regulation of axon extension involved in regeneration [GO:0048692]; negative regulation of dendrite development [GO:2000171]; neuron migration [GO:0001764]; positive regulation of SMAD protein signal transduction [GO:0060391]; sensory perception of sound [GO:0007605]; thalamus development [GO:0021794]; vocal learning [GO:0042297]	GO:0001764; GO:0005769; GO:0005886; GO:0007605; GO:0021794; GO:0021954; GO:0030517; GO:0030669; GO:0031410; GO:0031901; GO:0033555; GO:0042297; GO:0043231; GO:0048692; GO:0060391; GO:2000171	clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]	
Porites_compressa_HIv1___RNAseq.g4722.t1	P39598	4.27e-08	Uncharacterized protein YwbO		GO:0016491		oxidoreductase activity [GO:0016491]
Porites_compressa_HIv1___RNAseq.g5450.t1	P21328	7.31e-11	RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)		GO:0003964		RNA-directed DNA polymerase activity [GO:0003964]
Porites_compressa_HIv1___RNAseq.g2876.t1	Q7RTR2	1.04e-64	NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)	canonical NF-kappaB signal transduction [GO:0007249]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:0051898; GO:1900016; GO:1900226; GO:1901223	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]	ATP binding [GO:0005524]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]
Porites_compressa_HIv1___RNAseq.g12643.t1	P39790	1.07e-13	Extracellular metalloprotease (EC 3.4.21.-)	proteolysis [GO:0006508]	GO:0004252; GO:0005576; GO:0006508	extracellular region [GO:0005576]	serine-type endopeptidase activity [GO:0004252]
Porites_compressa_HIv1___RNAseq.g31717.t2	A0A1X7TVA9	4.66e-11	Death domain-containing ATP nucleosidase (DDAN) (EC 3.5.99.-)	L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside metabolic process [GO:0009116]	GO:0005829; GO:0008782; GO:0008930; GO:0009116; GO:0019284	cytosol [GO:0005829]	adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]
Porites_compressa_HIv1___TS.g7756.t1	P43141	9.23e-13	Beta-4C adrenergic receptor (Beta-4C adrenoreceptor) (Beta-4C adrenoceptor)	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410]	GO:0002025; GO:0004940; GO:0005886; GO:0015052; GO:0043410; GO:0045823; GO:0051379; GO:0071880	plasma membrane [GO:0005886]	beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]
Porites_compressa_HIv1___RNAseq.g16219.t1	P70187	0	Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A)	acrosome assembly [GO:0001675]; sperm mitochondrion organization [GO:0030382]; spermatid development [GO:0007286]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]	GO:0001675; GO:0007283; GO:0007286; GO:0007289; GO:0016020; GO:0022857; GO:0030382	membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]
Porites_compressa_HIv1___TS.g32431.t2	Q61382	6.24e-30	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich motif associated to RING and Traf domains protein 1)	apoptotic process [GO:0006915]; innate immune response [GO:0045087]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein kinase activity [GO:0045860]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of apoptotic process [GO:0042981]; respiratory gaseous exchange by respiratory system [GO:0007585]; respiratory tube development [GO:0030323]; signal transduction [GO:0007165]	GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007165; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699	bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; thioesterase binding [GO:0031996]; transferase activity [GO:0016740]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase binding [GO:0031625]; WW domain binding [GO:0050699]; zinc ion binding [GO:0008270]
Porites_compressa_HIv1___RNAseq.g35781.t1	Q9CYL5	6.91e-24	Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)	positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]	GO:0000139; GO:0005576; GO:0010634; GO:0010718; GO:0042803; GO:0070374	extracellular region [GO:0005576]; Golgi membrane [GO:0000139]	protein homodimerization activity [GO:0042803]
Porites_compressa_HIv1___TS.g30248.t1	Q09575	6.13e-15	Uncharacterized protein K02A2.6	DNA integration [GO:0015074]	GO:0003676; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575	cytoplasm [GO:0005737]; DNA polymerase complex [GO:0042575]	enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Porites_compressa_HIv1___TS.g5485.t1	Q04336	0	Uncharacterized protein YMR196W	oligosaccharide metabolic process [GO:0009311]	GO:0004573; GO:0005737; GO:0009311	cytoplasm [GO:0005737]	Glc3Man9GlcNAc2 oligosaccharide glucosidase activity [GO:0004573]
Porites_compressa_HIv1___RNAseq.g18968.t1	B8VIU6	6.25e-15	Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)		GO:0005576	extracellular region [GO:0005576]	
Porites_compressa_HIv1___RNAseq.g25691.t1a	P34611	3.17e-07	B-box type zinc finger protein ncl-1	negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of transcription by RNA polymerase I [GO:0016479]; negative regulation of transcription by RNA polymerase III [GO:0016480]; negative regulation of translation [GO:0017148]; nucleologenesis [GO:0017126]; protein localization to cell cortex [GO:0072697]; regulation of establishment of cell polarity [GO:2000114]; ribosome biogenesis [GO:0042254]	GO:0005737; GO:0008270; GO:0016479; GO:0016480; GO:0017126; GO:0017148; GO:0030371; GO:0042254; GO:0072697; GO:0090071; GO:2000114	cytoplasm [GO:0005737]	translation repressor activity [GO:0030371]; zinc ion binding [GO:0008270]
Porites_compressa_HIv1___RNAseq.g14265.t1	A0A2B4SJA1	2.99e-125	Stimulator of interferon genes protein 2 (Sp-STING2)	activation of innate immune response [GO:0002218]; autophagosome assembly [GO:0000045]; innate immune response [GO:0045087]; positive regulation of macroautophagy [GO:0016239]; positive regulation of type I interferon production [GO:0032481]; reticulophagy [GO:0061709]	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709	autophagosome [GO:0005776]; endoplasmic reticulum membrane [GO:0005789]	2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]
Porites_compressa_HIv1___RNAseq.g32279.t1	P13697	0	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	malate metabolic process [GO:0006108]; NADH metabolic process [GO:0006734]; NADP metabolic process [GO:0006739]; protein homotetramerization [GO:0051289]; pyruvate metabolic process [GO:0006090]; regulation of NADP metabolic process [GO:1902031]; response to hormone [GO:0009725]	GO:0000287; GO:0004470; GO:0004473; GO:0005737; GO:0005739; GO:0005829; GO:0006090; GO:0006108; GO:0006734; GO:0006739; GO:0008948; GO:0009725; GO:0030145; GO:0042802; GO:0050661; GO:0051287; GO:0051289; GO:1902031	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]	identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; malic enzyme activity [GO:0004470]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxaloacetate decarboxylase activity [GO:0008948]
Porites_compressa_HIv1___RNAseq.g14228.t1	Q8VC12	0	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]	GO:0005829; GO:0016153; GO:0019556; GO:0019557	cytosol [GO:0005829]	urocanate hydratase activity [GO:0016153]
Porites_compressa_HIv1___RNAseq.g4249.t1	Q05B63	5.65e-153	tRNA (guanine(10)-N(2))-methyltransferase TRMT11 (EC 2.1.1.214) (tRNA methyltransferase 11 homolog)	methylation [GO:0032259]; tRNA processing [GO:0008033]	GO:0000049; GO:0005737; GO:0008033; GO:0008168; GO:0032259; GO:0043528; GO:0160102	cytoplasm [GO:0005737]; tRNA (m2G10) methyltransferase complex [GO:0043528]	methyltransferase activity [GO:0008168]; tRNA (guanine(10)-N2)-methyltransferase activity [GO:0160102]; tRNA binding [GO:0000049]
Porites_compressa_HIv1___RNAseq.g4204.t1	O95847	1.17e-132	Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)	inner ear development [GO:0048839]; intracellular triglyceride homeostasis [GO:0035356]; negative regulation of mitochondrial calcium ion concentration [GO:0051562]; negative regulation of mitochondrial membrane potential [GO:0010917]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of cell population proliferation [GO:0008284]; regulation of D-glucose import [GO:0046324]; response to cold [GO:0009409]	GO:0005739; GO:0005743; GO:0008284; GO:0009409; GO:0010917; GO:0015078; GO:0015108; GO:0022857; GO:0031966; GO:0035356; GO:0042803; GO:0043025; GO:0043524; GO:0045177; GO:0046324; GO:0048839; GO:0051562	apical part of cell [GO:0045177]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]	chloride transmembrane transporter activity [GO:0015108]; protein homodimerization activity [GO:0042803]; proton transmembrane transporter activity [GO:0015078]; transmembrane transporter activity [GO:0022857]
Porites_compressa_HIv1___RNAseq.g1476.t1	A0A1W2P872	1.93e-55	RNA-binding protein Nova-2	central nervous system neuron development [GO:0021954]; mRNA processing [GO:0006397]; negative regulation of cold-induced thermogenesis [GO:0120163]; neuron differentiation [GO:0030182]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of axon guidance [GO:1902667]; regulation of RNA metabolic process [GO:0051252]; RNA splicing [GO:0008380]	GO:0000381; GO:0003723; GO:0003729; GO:0005634; GO:0006397; GO:0008380; GO:0021954; GO:0030182; GO:0051252; GO:0120163; GO:1902667; GO:1990825	nucleus [GO:0005634]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]
Porites_compressa_HIv1___RNAseq.g22751.t1	Q11126	9.46e-45	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3 (EC 2.4.1.65) (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase) (EC 2.4.1.152) (Alpha-3-fucosyltransferase FUT3) (EC 2.4.1.-) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (FUTB) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III)	fucosylation [GO:0036065]; lipid metabolic process [GO:0006629]; oligosaccharide metabolic process [GO:0009311]; positive regulation of cell-cell adhesion [GO:0022409]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; regulation of cell migration [GO:0030334]; regulation of cell population proliferation [GO:0042127]	GO:0006487; GO:0006493; GO:0006629; GO:0009311; GO:0017060; GO:0017083; GO:0022409; GO:0030334; GO:0032580; GO:0036065; GO:0042127; GO:0046920	Golgi cisterna membrane [GO:0032580]	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity [GO:0017060]; 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity [GO:0017083]; alpha-(1->3)-fucosyltransferase activity [GO:0046920]
Porites_compressa_HIv1___RNAseq.g20540.t1	Q6Q420	2.16e-80	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	brain development [GO:0007420]; chordate embryonic development [GO:0043009]; erythrocyte differentiation [GO:0030218]; regulation of cell cycle [GO:0051726]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	GO:0003735; GO:0005730; GO:0006412; GO:0007420; GO:0022627; GO:0030218; GO:0032040; GO:0042274; GO:0043009; GO:0051726	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	structural constituent of ribosome [GO:0003735]
Porites_compressa_HIv1___TS.g4676.t1	G5EG78	7.07e-85	Peroxidasin homolog pxn-2 (EC 1.11.2.-)	axon guidance [GO:0007411]; basement membrane organization [GO:0071711]; embryonic body morphogenesis [GO:0010172]; muscle attachment [GO:0016203]; negative regulation of axon regeneration [GO:0048681]; regulation of basement membrane organization [GO:0110011]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0005604; GO:0005615; GO:0006979; GO:0007411; GO:0010172; GO:0016203; GO:0020037; GO:0046872; GO:0048681; GO:0071711; GO:0110011; GO:0140825	basement membrane [GO:0005604]; extracellular space [GO:0005615]	heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
