query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Pocillopora_acuta_HIv2___RNAseq.g4740.t1	J4WMI6	5.49e-06	Class II hydrophobin C		GO:0005576	extracellular region [GO:0005576]	
Pocillopora_acuta_HIv2___RNAseq.g25327.t1	Q13887	2.02e-24	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)	angiogenesis [GO:0001525]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to peptide [GO:1901653]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816]	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005654; GO:0005667; GO:0005794; GO:0006357; GO:0008270; GO:0008284; GO:0014816; GO:0014901; GO:0014908; GO:0030033; GO:0032534; GO:0043231; GO:0043426; GO:0045600; GO:0045944; GO:0060576; GO:0061586; GO:1901653; GO:1990830; GO:1990837	chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g18191.t1	Q9NBX4	2.27e-34	Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)	DNA transposition [GO:0006313]	GO:0003964; GO:0006313		RNA-directed DNA polymerase activity [GO:0003964]
Pocillopora_acuta_HIv2___RNAseq.g18660.t1	B3EWZ3	1.98e-35	Coadhesin		GO:0016020	membrane [GO:0016020]	
Pocillopora_acuta_HIv2___RNAseq.g18943.t1	Q8IS64	1.11e-163	Endothelin-converting enzyme homolog (ECE) (EC 3.4.24.-)	protein processing [GO:0016485]	GO:0004175; GO:0004222; GO:0005886; GO:0008270; GO:0016485	plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g18193.t1	Q3B7D3	4.21e-50	Tectonic-2	cilium assembly [GO:0060271]; protein localization to ciliary transition zone [GO:1904491]; smoothened signaling pathway [GO:0007224]	GO:0005737; GO:0005856; GO:0007224; GO:0016020; GO:0035869; GO:0036038; GO:0060271; GO:1904491	ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; membrane [GO:0016020]; MKS complex [GO:0036038]	
Pocillopora_acuta_HIv2___RNAseq.g10783.t1	A6H5Z3	0	Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2)	intracellular protein transport [GO:0006886]; membrane fission [GO:0090148]; mitotic cytokinesis [GO:0000281]; vesicle docking involved in exocytosis [GO:0006904]; vesicle tethering involved in exocytosis [GO:0090522]	GO:0000145; GO:0000281; GO:0006886; GO:0006904; GO:0090148; GO:0090522	exocyst [GO:0000145]	
Pocillopora_acuta_HIv2___TS.g2781.t1	Q4KLJ8	5.32e-91	Phosducin-like protein 3	actin cytoskeleton organization [GO:0030036]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cellular response to heat [GO:0034605]; chaperone-mediated protein folding [GO:0061077]; negative regulation of chaperone-mediated protein folding [GO:1903645]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of angiogenesis [GO:0045766]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gene expression [GO:0010628]; protein folding [GO:0006457]; protein stabilization [GO:0050821]	GO:0001525; GO:0001938; GO:0005737; GO:0005783; GO:0006457; GO:0006915; GO:0010628; GO:0030036; GO:0032991; GO:0034605; GO:0043184; GO:0044183; GO:0045766; GO:0048471; GO:0050821; GO:0061077; GO:0097356; GO:1903645; GO:2000059	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; perinuclear region of cytoplasm [GO:0048471]; perinucleolar compartment [GO:0097356]; protein-containing complex [GO:0032991]	protein folding chaperone [GO:0044183]; vascular endothelial growth factor receptor 2 binding [GO:0043184]
Pocillopora_acuta_HIv2___TS.g9091.t1	Q47593	5.51e-06	Serotype-specific mannosyltransferase WbdA (EC 2.4.1.371) (Bifunctional alpha-(1->2), alpha-(1->3)-mannosyltransferase) (O-antigen chain mannosyltransferase A) (Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 2,3-alpha-mannosylpolymerase) [Includes: alpha-(1->2)-mannosyltransferase; alpha-(1->3)-mannosyltransferase]	O antigen biosynthetic process [GO:0009243]	GO:0005886; GO:0009243; GO:0016757	plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]
Pocillopora_acuta_HIv2___RNAseq.g14706.t1	Q5QD10	6.47e-19	Trace amine-associated receptor 7d (TaR-7d) (Trace amine receptor 7d) (mTaar7d)	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]	GO:0001594; GO:0005886; GO:0007189	plasma membrane [GO:0005886]	trace-amine receptor activity [GO:0001594]
Pocillopora_acuta_HIv2___TS.g179.t1	B3EWY9	1.05e-34	Mucin-like protein	cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0007160; GO:0016020	membrane [GO:0016020]	calcium ion binding [GO:0005509]
Pocillopora_acuta_HIv2___RNAseq.g15398.t1c	Q9DAJ5	1.33e-24	Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic)	microtubule-based movement [GO:0007018]	GO:0005737; GO:0005868; GO:0005874; GO:0007018	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]	
Pocillopora_acuta_HIv2___RNAseq.g15398.t1b	Q4LDE5	2.06e-12	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)	epidermis development [GO:0008544]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel morphogenesis [GO:0036303]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of platelet activation [GO:0010572]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193]	GO:0003017; GO:0003682; GO:0005178; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0010467; GO:0010572; GO:0016020; GO:0036303; GO:0045906; GO:0048014; GO:0098640; GO:0120193	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]	calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; integrin binding [GO:0005178]; integrin binding involved in cell-matrix adhesion [GO:0098640]
Pocillopora_acuta_HIv2___RNAseq.g15398.t1a	Q7SIA2	0	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Glutamyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]	cellular response to insulin stimulus [GO:0032869]; cellular response to type II interferon [GO:0071346]; glutamyl-tRNA aminoacylation [GO:0006424]; negative regulation of translation [GO:0017148]; prolyl-tRNA aminoacylation [GO:0006433]; regulation of long-chain fatty acid import into cell [GO:0140212]	GO:0004818; GO:0004827; GO:0005524; GO:0005829; GO:0005886; GO:0006424; GO:0006433; GO:0008270; GO:0017101; GO:0017148; GO:0032869; GO:0035613; GO:0042803; GO:0051020; GO:0071346; GO:0097452; GO:0140212; GO:1990904	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; GAIT complex [GO:0097452]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; GTPase binding [GO:0051020]; proline-tRNA ligase activity [GO:0004827]; protein homodimerization activity [GO:0042803]; RNA stem-loop binding [GO:0035613]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g254.t1	P35406	1.28e-43	D(1) dopamine receptor (Dopamine D1 receptor)	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410]	GO:0001588; GO:0004938; GO:0043410; GO:0045202; GO:0060170; GO:0071880; GO:0071881	ciliary membrane [GO:0060170]; synapse [GO:0045202]	alpha2-adrenergic receptor activity [GO:0004938]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]
Pocillopora_acuta_HIv2___RNAseq.g10905.t1	Q96IK5	8.47e-142	Germ cell-less protein-like 1 (Spermatogenesis-associated protein 29)	germ cell development [GO:0007281]; spermatogenesis [GO:0007283]	GO:0005634; GO:0007281; GO:0007283; GO:0016363; GO:0042802	nuclear matrix [GO:0016363]; nucleus [GO:0005634]	identical protein binding [GO:0042802]
Pocillopora_acuta_HIv2___TS.g3824.t1	Q9NUD5	5.57e-11	Zinc finger CCHC domain-containing protein 3	activation of innate immune response [GO:0002218]; cellular response to exogenous dsRNA [GO:0071360]; defense response to virus [GO:0051607]; detection of virus [GO:0009597]; innate immune response [GO:0045087]; positive regulation of RIG-I signaling pathway [GO:1900246]; positive regulation of type I interferon production [GO:0032481]	GO:0002218; GO:0003690; GO:0003723; GO:0005737; GO:0008270; GO:0009597; GO:0032481; GO:0045087; GO:0051607; GO:0071360; GO:1900246	cytoplasm [GO:0005737]	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___TS.g15454.t1c	P0C6B8	4.81e-14	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	epidermis development [GO:0008544]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of platelet activation [GO:0010572]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193]	GO:0001945; GO:0003017; GO:0003682; GO:0005178; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0010467; GO:0010572; GO:0016020; GO:0036303; GO:0045906; GO:0048014; GO:0098640; GO:0120193	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]	calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; integrin binding [GO:0005178]; integrin binding involved in cell-matrix adhesion [GO:0098640]
Pocillopora_acuta_HIv2___RNAseq.g9217.t1	Q6GR35	6.65e-67	Protein Abitram (Actin-binding transcription modulator) (Protein Simiate)	dendrite morphogenesis [GO:0048813]; regulation of actin filament polymerization [GO:0030833]; regulation of filopodium assembly [GO:0051489]	GO:0003785; GO:0005634; GO:0016607; GO:0030027; GO:0030425; GO:0030426; GO:0030833; GO:0032433; GO:0048813; GO:0051015; GO:0051489	dendrite [GO:0030425]; filopodium tip [GO:0032433]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]
Pocillopora_acuta_HIv2___TS.g4471.t1	Q86WC6	1.02e-18	Protein phosphatase 1 regulatory subunit 27 (Dysferlin-interacting protein 1) (Toonin)		GO:0004864; GO:0019902		phosphatase binding [GO:0019902]; protein phosphatase inhibitor activity [GO:0004864]
Pocillopora_acuta_HIv2___RNAseq.g6957.t1	P16621	3.46e-07	Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)	axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; cell adhesion [GO:0007155]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	GO:0004725; GO:0005001; GO:0005158; GO:0005925; GO:0007155; GO:0007165; GO:0007283; GO:0007399; GO:0007411; GO:0007412; GO:0008045; GO:0008201; GO:0008594; GO:0009925; GO:0009986; GO:0030424; GO:0031252; GO:0031290; GO:0032093; GO:0045467; GO:0046627; GO:0048477; GO:0048675; GO:0048841; GO:0051124; GO:0051491; GO:0060269; GO:0061484; GO:0120034; GO:1903386	axon [GO:0030424]; basal plasma membrane [GO:0009925]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; focal adhesion [GO:0005925]	heparin binding [GO:0008201]; insulin receptor binding [GO:0005158]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
Pocillopora_acuta_HIv2___RNAseq.g4933.t1	Q6PGV1	0	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (Vacuolar proton pump subunit d 1)	apical protein localization [GO:0045176]; cellular response to increased oxygen levels [GO:0036295]; cilium assembly [GO:0060271]; eye pigment granule organization [GO:0008057]; heart looping [GO:0001947]; intracellular iron ion homeostasis [GO:0006879]; left/right axis specification [GO:0070986]; melanosome organization [GO:0032438]; neuromast hair cell development [GO:0035675]; pronephric duct development [GO:0039022]; response to copper ion [GO:0046688]; retina development in camera-type eye [GO:0060041]; retinal pigment epithelium development [GO:0003406]; vacuolar acidification [GO:0007035]; vacuolar transport [GO:0007034]	GO:0001947; GO:0003406; GO:0005765; GO:0005769; GO:0006879; GO:0007034; GO:0007035; GO:0008057; GO:0016471; GO:0032438; GO:0033179; GO:0033181; GO:0035675; GO:0036295; GO:0039022; GO:0045176; GO:0046688; GO:0046961; GO:0060041; GO:0060271; GO:0070986	early endosome [GO:0005769]; lysosomal membrane [GO:0005765]; plasma membrane proton-transporting V-type ATPase complex [GO:0033181]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]
Pocillopora_acuta_HIv2___RNAseq.g4855.t1	Q8BG58	1.43e-57	Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)	regulation of erythrocyte differentiation [GO:0045646]	GO:0005506; GO:0005509; GO:0005789; GO:0008270; GO:0016706; GO:0031418; GO:0045646; GO:0160082	endoplasmic reticulum membrane [GO:0005789]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; calcium ion binding [GO:0005509]; hypoxia-inducible factor-proline dioxygenase activity [GO:0160082]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g12129.t1	Q13309	1.24e-51	S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/LRR-repeat protein 1) (p45skp2)	cellular response to cell-matrix adhesion [GO:0071460]; defense response to virus [GO:0051607]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; innate immune response [GO:0045087]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of smooth muscle cell proliferation [GO:0048661]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	GO:0000082; GO:0000086; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0019005; GO:0031146; GO:0033148; GO:0042802; GO:0042981; GO:0043161; GO:0045087; GO:0048661; GO:0051607; GO:0051726; GO:0070534; GO:0070936; GO:0071460; GO:1902916; GO:1905168; GO:1990756	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]	identical protein binding [GO:0042802]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
Pocillopora_acuta_HIv2___RNAseq.25023_t	Q9ULW2	6.84e-07	Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350)	canonical Wnt signaling pathway [GO:0060070]; cellular response to retinoic acid [GO:0071300]; neuron differentiation [GO:0030182]; non-canonical Wnt signaling pathway [GO:0035567]; positive regulation of JNK cascade [GO:0046330]; regulation of actin cytoskeleton organization [GO:0032956]	GO:0004930; GO:0005615; GO:0005654; GO:0005737; GO:0005886; GO:0009986; GO:0017147; GO:0030182; GO:0032956; GO:0035567; GO:0042813; GO:0046330; GO:0060070; GO:0071300	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
Pocillopora_acuta_HIv2___RNAseq.g24688.t1	Q9ULB1	6.95e-34	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	adult behavior [GO:0030534]; axon guidance [GO:0007411]; chemical synaptic transmission [GO:0007268]; gephyrin clustering involved in postsynaptic density assembly [GO:0097116]; learning [GO:0007612]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; neuromuscular process controlling balance [GO:0050885]; neuron cell-cell adhesion [GO:0007158]; neurotransmitter secretion [GO:0007269]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; postsynaptic density protein 95 clustering [GO:0097119]; postsynaptic membrane assembly [GO:0097104]; social behavior [GO:0035176]; synapse assembly [GO:0007416]; vocal learning [GO:0042297]; vocalization behavior [GO:0071625]	GO:0005246; GO:0005509; GO:0005730; GO:0005783; GO:0005886; GO:0007158; GO:0007268; GO:0007269; GO:0007411; GO:0007416; GO:0007612; GO:0009986; GO:0030534; GO:0031965; GO:0031982; GO:0033130; GO:0035176; GO:0038023; GO:0042297; GO:0042734; GO:0042995; GO:0043025; GO:0050839; GO:0050885; GO:0051965; GO:0051968; GO:0071625; GO:0090129; GO:0097104; GO:0097109; GO:0097116; GO:0097118; GO:0097119; GO:2000463	cell projection [GO:0042995]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; vesicle [GO:0031982]	acetylcholine receptor binding [GO:0033130]; calcium channel regulator activity [GO:0005246]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; neuroligin family protein binding [GO:0097109]; signaling receptor activity [GO:0038023]
Pocillopora_acuta_HIv2___RNAseq.g11847.t1	Q6RI86	5.59e-113	Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor)	calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832]	GO:0005216; GO:0005245; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042542; GO:0042802; GO:0046872; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0050974; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760	apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421]	calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; metal ion binding [GO:0046872]; monoatomic ion channel activity [GO:0005216]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]
Pocillopora_acuta_HIv2___RNAseq.g21917.t1	P15919	3.28e-91	V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	adaptive immune response [GO:0002250]; B cell differentiation [GO:0030183]; chromatin organization [GO:0006325]; DNA recombination [GO:0006310]; negative regulation of T cell apoptotic process [GO:0070233]; negative regulation of thymocyte apoptotic process [GO:0070244]; positive regulation of T cell differentiation [GO:0045582]; pre-B cell allelic exclusion [GO:0002331]; protein autoubiquitination [GO:0051865]; regulation of behavioral fear response [GO:2000822]; regulation of T cell differentiation [GO:0045580]; T cell differentiation in thymus [GO:0033077]; T cell homeostasis [GO:0043029]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]; visual learning [GO:0008542]	GO:0002250; GO:0002331; GO:0004519; GO:0004842; GO:0005634; GO:0005654; GO:0006310; GO:0006325; GO:0008270; GO:0008542; GO:0030183; GO:0033077; GO:0033151; GO:0042393; GO:0042802; GO:0042803; GO:0043029; GO:0043565; GO:0045580; GO:0045582; GO:0046872; GO:0048538; GO:0051865; GO:0061630; GO:0070233; GO:0070244; GO:2000822	nucleoplasm [GO:0005654]; nucleus [GO:0005634]	endonuclease activity [GO:0004519]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g8268.t1	Q14318	9.13e-81	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	apoptotic process [GO:0006915]; BMP signaling pathway [GO:0030509]; camera-type eye development [GO:0043010]; dorsal/ventral neural tube patterning [GO:0021904]; intracellular signal transduction [GO:0035556]; multicellular organism growth [GO:0035264]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein phosphorylation [GO:0001933]; neuron fate specification [GO:0048665]; positive regulation of BMP signaling pathway [GO:0030513]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of gene expression [GO:0010468]; regulation of mitophagy [GO:1901524]; smoothened signaling pathway [GO:0007224]	GO:0001933; GO:0003755; GO:0005516; GO:0005739; GO:0005740; GO:0005783; GO:0005789; GO:0005829; GO:0006457; GO:0006915; GO:0007224; GO:0010468; GO:0012505; GO:0016020; GO:0021904; GO:0030509; GO:0030513; GO:0031966; GO:0032991; GO:0035264; GO:0035556; GO:0042802; GO:0043010; GO:0043066; GO:0044183; GO:0046872; GO:0048665; GO:0070585; GO:0097718; GO:1901524	cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial envelope [GO:0005740]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]	calmodulin binding [GO:0005516]; disordered domain specific binding [GO:0097718]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]
Pocillopora_acuta_HIv2___RNAseq.g20241.t1	O35161	5.55e-28	Cadherin EGF LAG seven-pass G-type receptor 1	anterior/posterior pattern specification [GO:0009952]; apical protein localization [GO:0045176]; cell surface receptor signaling pathway [GO:0007166]; establishment of body hair planar orientation [GO:0048105]; establishment of planar polarity [GO:0001736]; establishment of planar polarity of embryonic epithelium [GO:0042249]; hair follicle development [GO:0001942]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear morphogenesis [GO:0042472]; lateral sprouting involved in lung morphogenesis [GO:0060490]; locomotory behavior [GO:0007626]; motor neuron migration [GO:0097475]; neural tube closure [GO:0001843]; orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis [GO:0060488]; planar dichotomous subdivision of terminal units involved in lung branching morphogenesis [GO:0060489]; protein localization involved in establishment of planar polarity [GO:0090251]; regulation of actin cytoskeleton organization [GO:0032956]; Rho protein signal transduction [GO:0007266]; wound healing [GO:0042060]	GO:0001736; GO:0001843; GO:0001942; GO:0004930; GO:0005509; GO:0005654; GO:0005886; GO:0007156; GO:0007166; GO:0007266; GO:0007626; GO:0009952; GO:0016020; GO:0032956; GO:0042060; GO:0042249; GO:0042472; GO:0045176; GO:0048105; GO:0060488; GO:0060489; GO:0060490; GO:0090251; GO:0097475	membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]
