query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Pocillopora_acuta_HIv2___RNAseq.g1130.t1,SLC,,Q9Z2Z6,5.66e-11,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (mCAC) (Solute carrier family 25 member 20),carnitine shuttle [GO:0006853]; carnitine transmembrane transport [GO:1902603]; in utero embryonic development [GO:0001701],GO:0001701; GO:0005739; GO:0005743; GO:0005829; GO:0006853; GO:0015226; GO:0015227; GO:1902603,cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],carnitine transmembrane transporter activity [GO:0015226]; O-acyl-L-carnitine transmembrane transporter activity [GO:0015227],Mitochondrial carnitine/acylcarnitine carrier protein
Pocillopora_acuta_HIv2___RNAseq.g1131.t1,SLC,,Q9Z2Z6,1.11e-55,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (mCAC) (Solute carrier family 25 member 20),carnitine shuttle [GO:0006853]; carnitine transmembrane transport [GO:1902603]; in utero embryonic development [GO:0001701],GO:0001701; GO:0005739; GO:0005743; GO:0005829; GO:0006853; GO:0015226; GO:0015227; GO:1902603,cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],carnitine transmembrane transporter activity [GO:0015226]; O-acyl-L-carnitine transmembrane transporter activity [GO:0015227],Mitochondrial carnitine/acylcarnitine carrier protein
Pocillopora_acuta_HIv2___RNAseq.g1133.t1,SLC,,P97521,5.94e-40,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20),carnitine transmembrane transport [GO:1902603]; in utero embryonic development [GO:0001701]; lipid transport [GO:0006869]; mitochondrial transport [GO:0006839],GO:0001701; GO:0005476; GO:0005740; GO:0005743; GO:0006839; GO:0006869; GO:0015227; GO:1902603,mitochondrial envelope [GO:0005740]; mitochondrial inner membrane [GO:0005743],carnitine:O-acyl-L-carnitine antiporter activity [GO:0005476]; O-acyl-L-carnitine transmembrane transporter activity [GO:0015227],Mitochondrial carnitine/acylcarnitine carrier protein
Pocillopora_acuta_HIv2___RNAseq.g11352.t1,SLC,,Q8BGF9,4.02e-74,Solute carrier family 25 member 44,amino acid transport [GO:0006865]; branched-chain amino acid catabolic process [GO:0009083]; branched-chain amino acid transport [GO:0015803]; regulation of cold-induced thermogenesis [GO:0120161],GO:0005739; GO:0005743; GO:0006865; GO:0009083; GO:0015658; GO:0015803; GO:0120161,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],branched-chain amino acid transmembrane transporter activity [GO:0015658],Solute carrier family 25 member 44
Pocillopora_acuta_HIv2___RNAseq.g11353.t1,SLC,,Q8BGF9,7.6e-69,Solute carrier family 25 member 44,amino acid transport [GO:0006865]; branched-chain amino acid catabolic process [GO:0009083]; branched-chain amino acid transport [GO:0015803]; regulation of cold-induced thermogenesis [GO:0120161],GO:0005739; GO:0005743; GO:0006865; GO:0009083; GO:0015658; GO:0015803; GO:0120161,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],branched-chain amino acid transmembrane transporter activity [GO:0015658],Solute carrier family 25 member 44
Pocillopora_acuta_HIv2___RNAseq.g1144.t1,calcium,,A2AIR5,4.41e-50,"Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)",calcium ion transport [GO:0006816]; dendrite development [GO:0016358]; negative regulation of dendritic spine development [GO:0061000]; prepulse inhibition [GO:0060134]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of synaptic plasticity [GO:0048167]; response to ethanol [GO:0045471]; rhythmic process [GO:0048511],GO:0004972; GO:0005262; GO:0005737; GO:0006816; GO:0016358; GO:0016594; GO:0017146; GO:0042802; GO:0043005; GO:0043025; GO:0045211; GO:0045471; GO:0048167; GO:0048511; GO:0051721; GO:0060134; GO:0061000; GO:0070905; GO:0098793; GO:0098839; GO:0098978; GO:0099171; GO:1904315,cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; NMDA selective glutamate receptor complex [GO:0017146]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793],calcium channel activity [GO:0005262]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; NMDA glutamate receptor activity [GO:0004972]; protein phosphatase 2A binding [GO:0051721]; serine binding [GO:0070905]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315],"Glutamate receptor ionotropic, NMDA 3A"
Pocillopora_acuta_HIv2___RNAseq.g11466.t1,calcium,,P54131,5.69e-115,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),"calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; regulation of membrane potential [GO:0042391]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; signal transduction [GO:0007165]; synaptic transmission, cholinergic [GO:0007271]",GO:0001540; GO:0001666; GO:0005886; GO:0005892; GO:0006816; GO:0006874; GO:0007165; GO:0007268; GO:0007271; GO:0008284; GO:0015464; GO:0015643; GO:0017081; GO:0022848; GO:0030425; GO:0032720; GO:0034220; GO:0035094; GO:0042166; GO:0042391; GO:0042803; GO:0043005; GO:0043410; GO:0045202; GO:0045211; GO:0045766; GO:0050890; GO:1900016,acetylcholine-gated channel complex [GO:0005892]; dendrite [GO:0030425]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202],acetylcholine binding [GO:0042166]; acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; amyloid-beta binding [GO:0001540]; chloride channel regulator activity [GO:0017081]; protein homodimerization activity [GO:0042803]; toxic substance binding [GO:0015643],Neuronal acetylcholine receptor subunit alpha-7
Pocillopora_acuta_HIv2___RNAseq.g11468.t1,calcium,,P49582,7.09e-96,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),"acetylcholine receptor signaling pathway [GO:0095500]; associative learning [GO:0008306]; B cell activation [GO:0042113]; behavioral response to ethanol [GO:0048149]; behavioral response to nicotine [GO:0035095]; calcium ion transport [GO:0006816]; dendrite arborization [GO:0140059]; dendritic spine organization [GO:0097061]; endocytosis [GO:0006897]; establishment of localization in cell [GO:0051649]; flagellated sperm motility [GO:0030317]; generation of ovulation cycle rhythm [GO:0060112]; learning or memory [GO:0007611]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; modulation of excitatory postsynaptic potential [GO:0098815]; monoatomic ion transport [GO:0006811]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of tumor necrosis factor production [GO:0032720]; ovulation cycle [GO:0042698]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure [GO:0001988]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein metabolic process [GO:0051247]; regulation of amyloid fibril formation [GO:1905906]; regulation of inflammatory response [GO:0050727]; regulation of membrane potential [GO:0042391]; regulation of norepinephrine secretion [GO:0014061]; regulation of synapse structural plasticity [GO:0051823]; regulation of synaptic transmission, dopaminergic [GO:0032225]; response to amyloid-beta [GO:1904645]; response to cold [GO:0009409]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to nicotine [GO:0035094]; sensory processing [GO:0050893]; synapse organization [GO:0050808]; synaptic transmission, cholinergic [GO:0007271]; T cell activation [GO:0042110]",GO:0001988; GO:0004888; GO:0005886; GO:0006811; GO:0006816; GO:0006897; GO:0007271; GO:0007611; GO:0007613; GO:0008306; GO:0009409; GO:0009897; GO:0014061; GO:0015464; GO:0016020; GO:0016324; GO:0022848; GO:0030317; GO:0030425; GO:0030673; GO:0032094; GO:0032225; GO:0032691; GO:0032715; GO:0032720; GO:0035094; GO:0035095; GO:0042110; GO:0042113; GO:0042391; GO:0042698; GO:0042734; GO:0043124; GO:0045211; GO:0045471; GO:0048149; GO:0050727; GO:0050728; GO:0050804; GO:0050808; GO:0050893; GO:0051247; GO:0051649; GO:0051823; GO:0060112; GO:0070374; GO:0095500; GO:0097061; GO:0098793; GO:0098815; GO:0098981; GO:0099634; GO:0140059; GO:1900016; GO:1900273; GO:1902004; GO:1904645; GO:1905906; GO:2000463,apical plasma membrane [GO:0016324]; axolemma [GO:0030673]; cholinergic synapse [GO:0098981]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; postsynaptic specialization membrane [GO:0099634]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734],acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888],Neuronal acetylcholine receptor subunit alpha-7
Pocillopora_acuta_HIv2___RNAseq.g11469.t1,calcium,,P36544,1.04e-99,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),acetylcholine receptor signaling pathway [GO:0095500]; calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; dendrite arborization [GO:0140059]; dendritic spine organization [GO:0097061]; excitatory postsynaptic potential [GO:0060079]; intracellular calcium ion homeostasis [GO:0006874]; learning or memory [GO:0007611]; ligand-gated ion channel signaling pathway [GO:1990806]; memory [GO:0007613]; modulation of excitatory postsynaptic potential [GO:0098815]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein metabolic process [GO:0051247]; regulation of amyloid fibril formation [GO:1905906]; regulation of amyloid precursor protein catabolic process [GO:1902991]; regulation of membrane potential [GO:0042391]; response to acetylcholine [GO:1905144]; response to amyloid-beta [GO:1904645]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; sensory processing [GO:0050893]; short-term memory [GO:0007614]; signal transduction [GO:0007165]; synapse organization [GO:0050808]; synaptic transmission involved in micturition [GO:0060084],GO:0001540; GO:0001666; GO:0004888; GO:0005216; GO:0005262; GO:0005789; GO:0005886; GO:0005892; GO:0006811; GO:0006816; GO:0006874; GO:0007165; GO:0007268; GO:0007611; GO:0007613; GO:0007614; GO:0008284; GO:0015464; GO:0015643; GO:0016020; GO:0017081; GO:0022848; GO:0030425; GO:0032720; GO:0034220; GO:0034703; GO:0035094; GO:0042166; GO:0042391; GO:0042803; GO:0043005; GO:0043124; GO:0043410; GO:0044853; GO:0045202; GO:0045211; GO:0045766; GO:0050808; GO:0050890; GO:0050893; GO:0051247; GO:0060079; GO:0060084; GO:0070374; GO:0095500; GO:0097061; GO:0098794; GO:0098815; GO:0098878; GO:0140059; GO:1900016; GO:1900273; GO:1902004; GO:1902430; GO:1902991; GO:1904645; GO:1905144; GO:1905906; GO:1990806; GO:2000463,acetylcholine-gated channel complex [GO:0005892]; cation channel complex [GO:0034703]; dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; neuron projection [GO:0043005]; neurotransmitter receptor complex [GO:0098878]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynapse [GO:0098794]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202],acetylcholine binding [GO:0042166]; acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; amyloid-beta binding [GO:0001540]; calcium channel activity [GO:0005262]; chloride channel regulator activity [GO:0017081]; monoatomic ion channel activity [GO:0005216]; protein homodimerization activity [GO:0042803]; toxic substance binding [GO:0015643]; transmembrane signaling receptor activity [GO:0004888],Neuronal acetylcholine receptor subunit alpha-7
Pocillopora_acuta_HIv2___RNAseq.g11470.t1,calcium,,P49582,6.05e-105,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),"acetylcholine receptor signaling pathway [GO:0095500]; associative learning [GO:0008306]; B cell activation [GO:0042113]; behavioral response to ethanol [GO:0048149]; behavioral response to nicotine [GO:0035095]; calcium ion transport [GO:0006816]; dendrite arborization [GO:0140059]; dendritic spine organization [GO:0097061]; endocytosis [GO:0006897]; establishment of localization in cell [GO:0051649]; flagellated sperm motility [GO:0030317]; generation of ovulation cycle rhythm [GO:0060112]; learning or memory [GO:0007611]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; modulation of excitatory postsynaptic potential [GO:0098815]; monoatomic ion transport [GO:0006811]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of tumor necrosis factor production [GO:0032720]; ovulation cycle [GO:0042698]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure [GO:0001988]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein metabolic process [GO:0051247]; regulation of amyloid fibril formation [GO:1905906]; regulation of inflammatory response [GO:0050727]; regulation of membrane potential [GO:0042391]; regulation of norepinephrine secretion [GO:0014061]; regulation of synapse structural plasticity [GO:0051823]; regulation of synaptic transmission, dopaminergic [GO:0032225]; response to amyloid-beta [GO:1904645]; response to cold [GO:0009409]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to nicotine [GO:0035094]; sensory processing [GO:0050893]; synapse organization [GO:0050808]; synaptic transmission, cholinergic [GO:0007271]; T cell activation [GO:0042110]",GO:0001988; GO:0004888; GO:0005886; GO:0006811; GO:0006816; GO:0006897; GO:0007271; GO:0007611; GO:0007613; GO:0008306; GO:0009409; GO:0009897; GO:0014061; GO:0015464; GO:0016020; GO:0016324; GO:0022848; GO:0030317; GO:0030425; GO:0030673; GO:0032094; GO:0032225; GO:0032691; GO:0032715; GO:0032720; GO:0035094; GO:0035095; GO:0042110; GO:0042113; GO:0042391; GO:0042698; GO:0042734; GO:0043124; GO:0045211; GO:0045471; GO:0048149; GO:0050727; GO:0050728; GO:0050804; GO:0050808; GO:0050893; GO:0051247; GO:0051649; GO:0051823; GO:0060112; GO:0070374; GO:0095500; GO:0097061; GO:0098793; GO:0098815; GO:0098981; GO:0099634; GO:0140059; GO:1900016; GO:1900273; GO:1902004; GO:1904645; GO:1905906; GO:2000463,apical plasma membrane [GO:0016324]; axolemma [GO:0030673]; cholinergic synapse [GO:0098981]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; postsynaptic specialization membrane [GO:0099634]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734],acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888],Neuronal acetylcholine receptor subunit alpha-7
Pocillopora_acuta_HIv2___RNAseq.g11471.t1,calcium,,Q05941,9.15e-103,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),"acetylcholine receptor signaling pathway [GO:0095500]; associative learning [GO:0008306]; B cell activation [GO:0042113]; behavioral response to ethanol [GO:0048149]; behavioral response to nicotine [GO:0035095]; calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; dendrite arborization [GO:0140059]; dendritic spine organization [GO:0097061]; dopamine biosynthetic process [GO:0042416]; endocytosis [GO:0006897]; establishment of localization in cell [GO:0051649]; excitatory postsynaptic potential [GO:0060079]; flagellated sperm motility [GO:0030317]; generation of ovulation cycle rhythm [GO:0060112]; intracellular calcium ion homeostasis [GO:0006874]; learning or memory [GO:0007611]; ligand-gated ion channel signaling pathway [GO:1990806]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; modulation of excitatory postsynaptic potential [GO:0098815]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of tumor necrosis factor production [GO:0032720]; neuronal action potential [GO:0019228]; ovulation cycle [GO:0042698]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of gene expression [GO:0010628]; positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure [GO:0001988]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein metabolic process [GO:0051247]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of amyloid fibril formation [GO:1905906]; regulation of amyloid precursor protein catabolic process [GO:1902991]; regulation of inflammatory response [GO:0050727]; regulation of membrane potential [GO:0042391]; regulation of norepinephrine secretion [GO:0014061]; regulation of response to drug [GO:2001023]; regulation of synapse structural plasticity [GO:0051823]; regulation of synaptic transmission, dopaminergic [GO:0032225]; response to acetylcholine [GO:1905144]; response to amyloid-beta [GO:1904645]; response to carbamate [GO:0046681]; response to cold [GO:0009409]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; sensory processing [GO:0050893]; signal transduction [GO:0007165]; synapse organization [GO:0050808]; synaptic transmission involved in micturition [GO:0060084]; synaptic transmission, cholinergic [GO:0007271]; T cell activation [GO:0042110]",GO:0001540; GO:0001666; GO:0001988; GO:0004888; GO:0005216; GO:0005789; GO:0005886; GO:0005892; GO:0006811; GO:0006816; GO:0006874; GO:0006897; GO:0007165; GO:0007268; GO:0007271; GO:0007611; GO:0007613; GO:0008179; GO:0008284; GO:0008306; GO:0009409; GO:0009897; GO:0010628; GO:0014061; GO:0015464; GO:0015643; GO:0016020; GO:0016324; GO:0017081; GO:0019228; GO:0019901; GO:0022848; GO:0030317; GO:0030424; GO:0030425; GO:0030426; GO:0030673; GO:0032094; GO:0032225; GO:0032279; GO:0032691; GO:0032715; GO:0032720; GO:0034220; GO:0034703; GO:0035094; GO:0035095; GO:0042110; GO:0042113; GO:0042166; GO:0042391; GO:0042416; GO:0042698; GO:0042734; GO:0042803; GO:0043005; GO:0043025; GO:0043124; GO:0043197; GO:0043198; GO:0043410; GO:0044853; GO:0045202; GO:0045211; GO:0045471; GO:0045766; GO:0046681; GO:0048149; GO:0050727; GO:0050728; GO:0050804; GO:0050808; GO:0050890; GO:0050893; GO:0051117; GO:0051247; GO:0051649; GO:0051823; GO:0060079; GO:0060084; GO:0060112; GO:0070373; GO:0070374; GO:0095500; GO:0097061; GO:0097110; GO:0098690; GO:0098815; GO:0098878; GO:0098897; GO:0098981; GO:0099171; GO:0099634; GO:0140059; GO:1900016; GO:1900273; GO:1902004; GO:1902430; GO:1902991; GO:1904315; GO:1904645; GO:1905144; GO:1905906; GO:1990806; GO:2000463; GO:2001023,acetylcholine-gated channel complex [GO:0005892]; apical plasma membrane [GO:0016324]; asymmetric synapse [GO:0032279]; axolemma [GO:0030673]; axon [GO:0030424]; cation channel complex [GO:0034703]; cholinergic synapse [GO:0098981]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; external side of plasma membrane [GO:0009897]; glycinergic synapse [GO:0098690]; growth cone [GO:0030426]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; neurotransmitter receptor complex [GO:0098878]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic membrane [GO:0045211]; postsynaptic specialization membrane [GO:0099634]; presynaptic membrane [GO:0042734]; spine apparatus membrane [GO:0098897]; synapse [GO:0045202],acetylcholine binding [GO:0042166]; acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; adenylate cyclase binding [GO:0008179]; amyloid-beta binding [GO:0001540]; ATPase binding [GO:0051117]; chloride channel regulator activity [GO:0017081]; monoatomic ion channel activity [GO:0005216]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; scaffold protein binding [GO:0097110]; toxic substance binding [GO:0015643]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315],Neuronal acetylcholine receptor subunit alpha-7
Pocillopora_acuta_HIv2___RNAseq.g11480.t1,SLC,,Q8BGK5,4.06e-112,Solute carrier family 35 member F1,,GO:0022857; GO:0030672,synaptic vesicle membrane [GO:0030672],transmembrane transporter activity [GO:0022857],Solute carrier family 35 member F1
Pocillopora_acuta_HIv2___RNAseq.g11497.t1,SLC,,B0S6T2,9.96e-176,Solute carrier family 15 member 2 (Peptide transporter 2) (PEPT2),"dipeptide import across plasma membrane [GO:0140206]; innate immune response [GO:0045087]; peptidoglycan transport [GO:0015835]; protein transport [GO:0015031]; regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0070424]; response to yeast [GO:0001878]; tripeptide import across plasma membrane [GO:0140207]",GO:0001878; GO:0005886; GO:0015031; GO:0015333; GO:0015835; GO:0016324; GO:0030670; GO:0042937; GO:0045087; GO:0070424; GO:0071916; GO:0140206; GO:0140207,apical plasma membrane [GO:0016324]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886],dipeptide transmembrane transporter activity [GO:0071916]; peptide:proton symporter activity [GO:0015333]; tripeptide transmembrane transporter activity [GO:0042937],Solute carrier family 15 member 2
Pocillopora_acuta_HIv2___RNAseq.g1153.t1,calcium,,Q8TCU5,1.1e-12,"Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)","calcium ion transport [GO:0006816]; dendrite development [GO:0016358]; ionotropic glutamate receptor signaling pathway [GO:0035235]; modulation of chemical synaptic transmission [GO:0050804]; monoatomic cation transmembrane transport [GO:0098655]; negative regulation of dendritic spine development [GO:0061000]; prepulse inhibition [GO:0060134]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; regulation of synaptic plasticity [GO:0048167]; response to ethanol [GO:0045471]; rhythmic process [GO:0048511]; synaptic transmission, glutamatergic [GO:0035249]",GO:0004972; GO:0005262; GO:0005789; GO:0005886; GO:0006816; GO:0008066; GO:0016020; GO:0016358; GO:0016594; GO:0017146; GO:0034702; GO:0035235; GO:0035249; GO:0042802; GO:0043005; GO:0043025; GO:0045202; GO:0045211; GO:0045471; GO:0048167; GO:0048511; GO:0050804; GO:0051721; GO:0060134; GO:0061000; GO:0070905; GO:0098655; GO:0098793; GO:0098839; GO:0098878; GO:0098978; GO:0099171; GO:0160212; GO:1904315,endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; monoatomic ion channel complex [GO:0034702]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; neurotransmitter receptor complex [GO:0098878]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; synapse [GO:0045202],calcium channel activity [GO:0005262]; glutamate receptor activity [GO:0008066]; glycine binding [GO:0016594]; glycine-gated cation channel activity [GO:0160212]; identical protein binding [GO:0042802]; NMDA glutamate receptor activity [GO:0004972]; protein phosphatase 2A binding [GO:0051721]; serine binding [GO:0070905]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315],"Glutamate receptor ionotropic, NMDA 3A"
Pocillopora_acuta_HIv2___RNAseq.g11579.t2,SLC,,Q9UA35,0,Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (hfCNT),purine nucleoside transmembrane transport [GO:0015860]; pyrimidine nucleoside transport [GO:0015864],GO:0005886; GO:0015389; GO:0015390; GO:0015860; GO:0015864,plasma membrane [GO:0005886],purine-specific nucleoside:sodium symporter activity [GO:0015390]; pyrimidine- and adenosine-specific:sodium symporter activity [GO:0015389],Solute carrier family 28 member 3
Pocillopora_acuta_HIv2___RNAseq.g11788.t1,SLC,,G8XYX6,3.57e-48,Monocarboxylate transporter 8 (MCT 8) (Solute carrier family 16 member 2),brain development [GO:0007420]; central nervous system development [GO:0007417]; chordate embryonic development [GO:0043009]; locomotion [GO:0040011]; neuron differentiation [GO:0030182]; oligodendrocyte differentiation [GO:0048709]; optomotor response [GO:0071632]; regulation of thyroid hormone generation [GO:2000609]; Schwann cell differentiation [GO:0014037]; spinal cord development [GO:0021510]; spinal cord oligodendrocyte cell differentiation [GO:0021529]; thyroid gland development [GO:0030878]; thyroid hormone transport [GO:0070327]; transmission of nerve impulse [GO:0019226],GO:0005886; GO:0007417; GO:0007420; GO:0014037; GO:0015349; GO:0016324; GO:0019226; GO:0021510; GO:0021529; GO:0030182; GO:0030878; GO:0040011; GO:0043009; GO:0048709; GO:0070324; GO:0070327; GO:0071632; GO:2000609,apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],thyroid hormone binding [GO:0070324]; thyroid hormone transmembrane transporter activity [GO:0015349],Monocarboxylate transporter 8
